CATEGORIA;CLASA;SEX;AGE;AGROUP;EDUC;OCUP;STAP;STAO;ACTP;INCOME
8;2;1;50;4;4;7231;1;1;2;16766.8545
8;2;2;24;1;7;7231;1;1;2;0
8;2;2;55;5;5;4321;1;1;2;0
4;2;1;43;3;7;2149;1;1;2;25377.165
5;2;2;37;3;7;2611;1;1;6;32646.46
3;1;1;55;5;7;2654;1;1;7;0
5;2;2;46;4;7;2611;1;1;6;34718.37
6;2;2;46;4;7;2631;1;1;6;28170.3266666667
1;1;1;45;4;7;1120;1;1;5;38895.59
6;2;2;44;3;7;2514;1;1;2;13012.64
11;3;1;40;3;4;9329;1;1;2;10808.655
7;2;1;44;3;5;7413;1;1;3;19346.7133333333
9;3;2;43;3;5;8181;1;1;2;0
7;2;1;22;1;5;3522;1;1;3;0
11;3;2;50;4;3;9629;1;1;2;13233.12
8;2;1;36;3;3;7111;3;2;3;0
11;3;1;47;4;5;9629;1;1;2;7747.98
9;3;2;43;3;5;5221;1;1;5;12443.1861363636
7;2;2;23;1;7;3359;1;1;5;0
8;2;1;53;4;4;7111;1;4;3;28693.98
9;3;2;48;4;3;8181;1;1;2;0
9;3;1;28;2;5;8212;1;1;2;14547.5
8;2;1;28;2;5;7124;1;1;2;17009.75
7;2;1;51;4;3;7413;1;1;2;16675.32
9;3;2;40;3;3;5221;1;1;2;11352.3
9;3;1;38;3;5;5151;1;1;5;14567.04
4;2;2;32;2;7;2411;1;1;7;14036.7433333333
9;3;1;36;3;5;5419;1;1;6;15207.42
9;3;2;35;3;5;8219;1;1;2;13352.4
9;3;1;30;2;5;8322;1;1;6;16995.1467647059
9;3;2;28;2;7;5230;1;1;6;0
8;2;1;54;4;5;7212;1;1;2;15801.325
9;3;1;32;2;3;5223;1;1;5;0
11;3;2;32;2;3;9629;1;1;2;0
9;3;2;40;3;7;5221;1;4;5;19045.45
8;2;1;47;4;5;3240;1;1;7;14214.25
9;3;2;48;4;5;7314;1;1;2;0
5;2;2;23;1;7;3322;1;1;5;8473.1
9;3;1;51;4;4;7211;1;1;2;0
9;3;2;49;4;3;5221;1;1;5;8585.57714285714
7;2;1;28;2;7;7421;1;1;2;0
6;2;2;28;2;7;2643;1;1;2;0
6;2;2;24;1;7;2330;1;4;6;4411.04
9;3;1;37;3;5;8332;1;1;4;19926.0794117647
7;2;1;31;2;4;7411;1;1;3;14307.59
9;3;1;38;3;5;5169;1;1;5;12238.9766666667
4;2;1;60;5;7;2411;1;1;7;0
4;2;1;30;2;7;3355;1;1;6;23274.165
9;3;2;30;2;5;5223;1;1;5;0
6;2;1;30;2;7;2512;1;4;5;18208.56
4;2;2;30;2;7;2412;1;1;5;28994.9988888889
9;3;1;56;5;5;8181;1;1;2;0
6;2;2;58;5;6;2221;1;1;6;20054.28
5;2;1;36;3;7;2611;1;1;5;26354.28
5;2;2;31;2;7;2611;1;1;7;24853.79
4;2;1;30;2;7;2264;1;1;6;0
5;2;2;33;2;7;3324;1;1;5;15248.505
9;3;2;60;5;5;5223;1;1;5;15705.63
9;3;2;61;5;3;5153;1;1;6;0
11;3;1;37;3;5;9333;1;1;5;0
6;2;2;51;4;7;2631;1;1;6;28170.3266666667
6;2;2;25;2;7;2250;1;1;5;0
8;2;2;31;2;7;5142;1;1;5;0
8;2;1;57;5;4;7233;1;1;6;19251.72
9;3;2;56;5;5;7535;1;1;2;0
9;3;1;35;3;6;5221;3;2;5;0
9;3;1;28;2;5;8219;1;1;2;0
7;2;1;50;4;6;3112;1;1;3;29371.1866666667
9;3;2;20;1;5;5221;1;1;5;10305.8809090909
7;2;2;57;5;6;3116;1;1;4;0
4;2;1;37;3;7;2152;1;1;5;31841.1466666667
6;2;2;37;3;7;2330;1;1;6;20411.9082352941
11;3;1;27;2;4;9629;1;1;2;0
9;3;2;27;2;5;5221;1;1;5;11020.4273809524
8;2;2;46;4;7;7126;1;1;2;0
